torq, px, py, theta, theta_dot, theta_dd, fitness, delta_theta, force, cx, x_dot, x_dd
0, -0.103048, 0.994676, 95.9147, -0.0128655, -0.00325754, 17.2155, 5.91469, 3.09701, -9.41302, 6.73033, 1.03342
0, -0.101734, 0.994812, 95.839, -0.0132025, -0.00337016, 17.0081, 5.83905, 3.05907, -8.72978, 6.83241, 1.02081
0, -0.100386, 0.994949, 95.7614, -0.0135513, -0.00348809, 16.7952, 5.76141, 3.02016, -8.03646, 6.9332, 1.00788
0, -0.0990018, 0.995087, 95.6817, -0.0139124, -0.00361164, 16.5767, 5.68169, 2.98023, -7.3332, 7.03266, 0.994616
0, -0.0975801, 0.995228, 95.5998, -0.0142866, -0.00374118, 16.3523, 5.59984, 2.93927, -6.62012, 7.13076, 0.981003
0, -0.0961196, 0.99537, 95.5158, -0.0146743, -0.00387708, 16.1218, 5.51576, 2.89722, -5.89737, 7.22746, 0.967033
0, -0.0946188, 0.995514, 95.4294, -0.0150762, -0.00401976, 15.885, 5.42938, 2.85405, -5.1651, 7.32273, 0.952691
0, -0.0930763, 0.995659, 95.3406, -0.0154932, -0.00416965, 15.6416, 5.34061, 2.80972, -4.42345, 7.41653, 0.937966
0, -0.0914905, 0.995806, 95.2494, -0.0159259, -0.00432723, 15.3914, 5.24936, 2.76419, -3.67257, 7.50881, 0.922842
0, -0.0898597, 0.995954, 95.1555, -0.0163752, -0.00449303, 15.1342, 5.15554, 2.71742, -2.91261, 7.59954, 0.907305
